module_id	module_name	complex	definition
EMERGE0	nitrate->nitrite -1	nitrogen_redox	(K00370+K00371),(K02567+K02568)
EMERGE1	nitrite->ammonium -2	nitrogen_redox	(K00362+K00363),(K03385+K15876)
EMERGE2	nitrite->nitric oxide -3	nitrogen_redox	K00368,K15864
EMERGE3	nitric oxide->dinitrogen -4	nitrogen_redox	K04561
EMERGE4	nitric oxide->nitrous oxide -5	nitrogen_redox	(K04561+K02305),(K12264+K12265),(K05601+K11933)
EMERGE5	nitrous oxide->dinitrogen -6	nitrogen_redox	K00376
EMERGE6	dinitrogen->ammonium -7	nitrogen_redox	(K02588+K02586+K02591+K02585+K02587+K02592+K15790+K04488),(K22899+K22898+K22896+K22897+K02585+K02592+K22903),(K02588+K00531+K02586+K02591+K02585+K04488)
EMERGE7	ammonium/nitric oxide->hydrazine -8	nitrogen_redox	K20932+K20933+K20934
EMERGE8	hydrazine->dinitrogen -9	nitrogen_redox	K20935
EMERGE9	ammonium->hydroxylamine -10	nitrogen_redox	K10946+K10944+K10945
EMERGE10	hydroxylamine->nitric oxide -11	nitrogen_redox	K10535
EMERGE11	nitrite->nitrate -13	nitrogen_redox	K00370+K00371
EMERGE12	nitric oxide->nitrate -14	nitrogen_redox	K05916
EMERGE13	nitric oxide->ammonium -15	nitrogen_redox	K03385+K04013
EMERGE14	nitrate->nitrite -16	nitrogen_redox	(K00372+K00360),(K00367)
EMERGE15	nitrite->ammonium -17	nitrogen_redox	(K00362+K00363),(K00366)
EMERGE16	mcp->None -1	chemotaxis	K03406,K05874,K05875,K05876,K05877,K03776,K06595
EMERGE17	cheW->None -2	chemotaxis	K03408
EMERGE18	cheA->None -3	chemotaxis	K03407
EMERGE19	cheY->None -4	chemotaxis	K03413
EMERGE20	cheBR->None -5	chemotaxis	(K03412+K00575),K13924
EMERGE21	stator->None -1	flagella_assembly	K02556+K02557
EMERGE22	C-ring->None -2	flagella_assembly	K02410+K02416+K02417
EMERGE23	type-III secretion->None -3	flagella_assembly	K02400+K02401+K02412+K02414+K02419+K02420+K02421
EMERGE24	MS-ring->None -4	flagella_assembly	K02409
EMERGE25	basal body->None -5	flagella_assembly	K02387+K02388+K02391+K02392
EMERGE26	P-ring->None -6	flagella_assembly	K02394
EMERGE27	L-ring->None -7	flagella_assembly	K02393
EMERGE28	hook->None -8	flagella_assembly	K02390+K02397+K02396
EMERGE29	filament->None -9	flagella_assembly	K02406
EMERGE30	sulfate->APS -1	sulfur_redox	K00958,K00955
EMERGE31	APS->sulfite -2	sulfur_redox	K00394+K00395
EMERGE32	sulfite->sulfide -3	sulfur_redox	K11180+K11181+K23077
EMERGE33	tetrathionate->thiosulfate -4	sulfur_redox	K08357+K08358+K08359
EMERGE34	thiosulfate->sulfide -5	sulfur_redox	K08352+K08353+K08354
EMERGE35	APS->PAPS -6	sulfur_redox	K00860,K00955
EMERGE36	PAPS->sulfite -7	sulfur_redox	K00390
EMERGE37	sulfite->sulfide -8	sulfur_redox	(K00380+K00381),K00392
EMERGE38	sulfur->sulfite -9	sulfur_redox	K11180+K11181+K23077
EMERGE39	thiosulfate->sulfur -10	sulfur_redox	(K17222+K17223+K17224+K17225+K17226+K17227+K22622),(K17224+K17226+K17227),(K17223+K17226+K17227),(K17224+K17225+K22622)
EMERGE40	sulfide->sulfur -11	sulfur_redox	K17218
EMERGE41	sulfide->sulfur -12	sulfur_redox	K17229+K17230
EMERGE42	sulfide->sulfur -13	sulfur_redox	K16952
EMERGE43	sulfide->sulfur -14	sulfur_redox	K17219+K17220+K17221
EMERGE44	urea->carbon dioxide -1	urea_degradation	K01427,(K01428+K01429+K01430),(K01428+K14048)
EMERGE45	methane->methanol -3	carbon_redox	(K10946+K10944+K10945),(K16157+K16158+K16159+K16160+K16161)
EMERGE46	methanol->formaldehyde -4	carbon_redox	(K14028+K14029),K23995
EMERGE47	formaldehyde->5,10-methylene-THMPT -5	carbon_redox	K10713,K13812
EMERGE48	formaldehyde->formate -6	carbon_redox	K00148,(K03396+K00121+K01070)
EMERGE49	formate->carbon dioxide -7	carbon_redox	K00122,(K05299+K15022),(K00123+K22515),(K08348+K08349+K08350),(K00123+K00124+K00127)
EMERGE50	1,4-B-D-cellulose->cellobiose -1	cellulose_degradation	K20829
EMERGE51	1,4-B-D-cellulose->cellobiose -2	cellulose_degradation	K19668
EMERGE52	cellobiose->D-glucose -3	cellulose_degradation	K05349,K05350
EMERGE53	cellobiose->D-glucose-1-phosphate -4	cellulose_degradation	K00702
